Original_Infix,Perturbed_Infix,Original_Prefix,Perturbed_Prefix,Original_Postfix,Perturbed_Postfix,Category,Original_Result,Perturbed_Result,Is_Equivalent_Infix,Is_Equivalent_Prefix,Is_Equivalent_Postfix,Is_Equivalent_Infix_Prefix,Is_Equivalent_Infix_Postfix,Is_Equivalent_Prefix_Postfix
( ( 368 / 972.31 ) - 83 ),( ( 368 - 972.31 ) / 83 ),- / 368 972.31 83,/ - 368 972.31 83,368 972.31 / 83 -,368 972.31 - 83 /,Simple,-82.62,-7.28,False,False,False,False,False,False
( 14.99 - 640 / ( 705 * 168 ) ),( 14.99 - 640 / ( 705 - 168 ) ),- 14.99 / 640 * 705 168,- 14.99 / 640 - 705 168,14.99 640 705 168 * / -,14.99 640 705 168 - / -,Simple,14.98,13.8,False,False,False,False,False,False
364.78 * 282 * 785,364.78 * 282 * 785,* 364.78 * 282 785,* 364.78 * 282 785,364.78 282 * 785 *,364.78 282 * 785 *,Simple,80751348.6,80751348.6,True,True,True,True,True,True
( 56 + ( 371 - 557 ) ),( 56 + ( 371 - 557 ) ),+ 56 - 371 557,+ 56 - 371 557,56 371 557 - +,56 371 557 - +,Simple,-130.0,-130.0,True,True,True,True,True,True
( ( 67.61 - ( 309 * 421.17 ) ) * ( 358 ^ 2 ) ),( ( 67.61 - ( 309 * 421.17 ) ) * ( 358 ^ 2 ) ),* - 67.61 * 309 421.17 ^ 358 2,* - 67.61 * 309 421.17 ^ 358 2,67.61 309 421.17 * - 358 2 ^ *,67.61 309 421.17 * - 358 2 ^ *,Simple,-16670793882.88,-16670793882.88,True,True,True,True,True,True
881.46 + ( 89 - 968 ),881.46 - ( 89 - 968 ),+ 881.46 - 89 968,- 881.46 - 89 968,881.46 89 968 - +,881.46 89 968 - -,Simple,2.46,1760.46,False,False,False,False,False,False
( 981.64 - ( 189.5 - 183 ) * ( 104.8 / ( 82.72 / 964 ) ) ),( 981.64 - ( 189.5 - 183 ) * ( 104.8 / ( 82.72 / 964 ) ) ),- 981.64 * - 189.5 183 / 104.8 / 82.72 964,- 981.64 * - 189.5 183 / 104.8 / 82.72 964,981.64 189.5 183 - 104.8 82.72 964 / / * -,981.64 189.5 183 - 104.8 82.72 964 / / * -,Simple,-6956.91,-6956.91,True,True,True,True,True,True
859.4 + 790 * 852 / 197.85 * 937,859.4 + 790 * 852 / 197.85 * 937,+ 859.4 * 790 / 852 * 197.85 937,+ 859.4 * 790 / 852 * 197.85 937,859.4 790 852 * 197.85 / 937 * +,859.4 790 852 * 197.85 / 937 * +,Simple,3188506.41,3188506.41,True,True,True,True,True,True
575 * 727 / ( 670 + 642 ),575 / 727 / ( 670 + 642 ),* 575 / 727 + 670 642,/ 575 / 727 + 670 642,575 727 * 670 642 + /,575 727 / 670 642 + /,Simple,318.62,0.0,False,False,False,False,False,False
( ( 59 / 713 ) ^ 50 / 203.55 ),( ( 59 / 713 ) ^ 50 / 203.55 ),/ ^ / 59 713 50 203.55,/ ^ / 59 713 50 203.55,59 713 / 50 ^ 203.55 /,59 713 / 50 ^ 203.55 /,Simple,0.0,0.0,True,True,True,True,True,True
( ( 920 + 464 ) + ( ( 435.54 + 787 ) + 165 - 419 ) ),( ( 920 + 464 ) + ( ( 435.54 + 787 ) + 165 - 419 ) ),+ + 920 464 + + 435.54 787 - 165 419,+ + 920 464 + + 435.54 787 - 165 419,920 464 + 435.54 787 + 165 + 419 - +,920 464 + 435.54 787 + 165 + 419 - +,Simple,2352.54,2352.54,True,True,True,True,True,True
( ( 419 / 331 ) - 92 * 580 - ( 28.71 - 894 ) ),( ( 419 / 331 ) - 92 * 580 - ( 28.71 - 894 ) ),- / 419 331 - * 92 580 - 28.71 894,- / 419 331 - * 92 580 - 28.71 894,419 331 / 92 580 * - 28.71 894 - -,419 331 / 92 580 * - 28.71 894 - -,Simple,-52493.44,-52493.44,True,True,True,True,True,True
( ( ( 150.75 + 27 ) ^ 26 * 705 + 718 ) / 854 ),( ( ( 150.75 + 27 ) ^ 26 * 705 + 718 ) / 854 ),/ + * ^ + 150.75 27 26 705 718 854,/ + * ^ + 150.75 27 26 705 718 854,150.75 27 + 26 ^ 705 * 718 + 854 /,150.75 27 + 26 ^ 705 * 718 + 854 /,Simple,2.580958911838626e+58,2.580958911838626e+58,True,True,True,True,True,True
171 + ( 34 - 460 ) + ( 422 * 578 + 611 ),171 + ( 34 - 460 ) + ( 422 * 578 + 611 ),+ 171 + - 34 460 + * 422 578 611,+ 171 + - 34 460 + * 422 578 611,171 34 460 - + 422 578 * 611 + +,171 34 460 - + 422 578 * 611 + +,Simple,244272.0,244272.0,True,True,True,True,True,True
892.92 * ( 18 ^ 126.26 * 965.81 - 297.60 ),892.92 * ( 18 ^ 126.26 * 965.81 - 297.60 ),* 892.92 - * ^ 18 126.26 965.81 297.60,* 892.92 - * ^ 18 126.26 965.81 297.60,892.92 18 126.26 ^ 965.81 * 297.60 - *,892.92 18 126.26 ^ 965.81 * 297.60 - *,Simple,2.66938209260893e+164,2.66938209260893e+164,True,True,True,True,True,True
( ( 142 / 123 ) + ( 660.75 - ( 932 / ( 272 / 986 ) ) ) ),( ( 142 / 123 ) + ( 660.75 - ( 932 / ( 272 / 986 ) ) ) ),+ / 142 123 - 660.75 / 932 / 272 986,+ / 142 123 - 660.75 / 932 / 272 986,142 123 / 660.75 932 272 986 / / - +,142 123 / 660.75 932 272 986 / / - +,Simple,-2716.6,-2716.6,True,True,True,True,True,True
( ( 955.40 + 133 ) - 356 - 479 ),( ( 955.40 + 133 ) - 356 - 479 ),- + 955.40 133 - 356 479,- + 955.40 133 - 356 479,955.40 133 + 356 - 479 -,955.40 133 + 356 - 479 -,Simple,253.4,253.4,True,True,True,True,True,True
86 * 521 * 280,86 * 521 * 280,* 86 * 521 280,* 86 * 521 280,86 521 * 280 *,86 521 * 280 *,Simple,12545680.0,12545680.0,True,True,True,True,True,True
( 390 + 241 * 216 ) + 16.48,( 390 + 241 * 216 ) ^ 16.48,+ + 390 * 241 216 16.48,^ + 390 * 241 216 16.48,390 241 216 * + 16.48 +,390 241 216 * + 16.48 ^,Simple,52462.48,6.037537869519938e+77,False,False,False,False,False,False
( 122 - 812 ) * 650.40,( 122 - 812 ) + 650.40,* - 122 812 650.40,+ - 122 812 650.40,122 812 - 650.40 *,122 812 - 650.40 +,Simple,-448776.0,-39.6,False,False,False,False,False,False
567 ^ 76 / 761,567 ^ 76 / 761,/ ^ 567 76 761,/ ^ 567 76 761,567 76 ^ 761 /,567 76 ^ 761 /,Simple,2.4599587184216608e+206,2.4599587184216608e+206,True,True,True,True,True,True
( 681 * 12 ) / 663 + 470 + 700,( 681 * 12 ) / 663 + 470 + 700,+ / * 681 12 663 + 470 700,+ / * 681 12 663 + 470 700,681 12 * 663 / 470 + 700 +,681 12 * 663 / 470 + 700 +,Simple,1182.33,1182.33,True,True,True,True,True,True
( 657 + ( 302.69 * 718.15 ) ) / 788,( 657 * ( 302.69 + 718.15 ) ) / 788,/ + 657 * 302.69 718.15 788,/ * 657 + 302.69 718.15 788,657 302.69 718.15 * + 788 /,657 302.69 718.15 + * 788 /,Simple,276.69,851.13,False,False,False,False,False,False
323 + 16 + 924,323 + 16 + 924,+ 323 + 16 924,+ 323 + 16 924,323 16 + 924 +,323 16 + 924 +,Simple,1263.0,1263.0,True,True,True,True,True,True
554.43 - ( ( 663 + 829.24 ) / 44 ) / 36,554.43 - ( ( 663 + 829.24 ) / 44 ) / 36,- 554.43 / / + 663 829.24 44 36,- 554.43 / / + 663 829.24 44 36,554.43 663 829.24 + 44 / 36 / -,554.43 663 829.24 + 44 / 36 / -,Simple,553.49,553.49,True,True,True,True,True,True
( 503 ^ ( 187 / 193 ) ) - 64.21 - 960,( 503 - ( 187 / 193 ) ) - 64.21 - 960,- ^ 503 / 187 193 - 64.21 960,- - 503 / 187 193 - 64.21 960,503 187 193 / ^ 64.21 - 960 -,503 187 193 / - 64.21 - 960 -,Simple,-609.66,-522.18,False,False,False,False,False,False
63.88 ^ ( 182.18 - 810 ),63.88 ^ ( 182.18 - 810 ),^ 63.88 - 182.18 810,^ 63.88 - 182.18 810,63.88 182.18 810 - ^,63.88 182.18 810 - ^,Simple,0.0,0.0,True,True,True,True,True,True
( 528 / 334 ^ ( 32.80 / 388 / ( 188.34 / 80 ) ) ),( 528 / 334 / ( 32.80 / 388 ^ ( 188.34 / 80 ) ) ),/ 528 ^ 334 / 32.80 / 388 / 188.34 80,/ 528 / 334 / 32.80 ^ 388 / 188.34 80,528 334 32.80 388 / 188.34 80 / / ^ /,528 334 / 32.80 388 188.34 80 / ^ / /,Simple,428.56,59947.45,False,False,False,False,False,False
517.49 ^ 84 * 274.8 + 139 - 854,517.49 - 84 * 274.8 + 139 - 854,+ * ^ 517.49 84 274.8 - 139 854,- 517.49 + * 84 274.8 - 139 854,517.49 84 ^ 274.8 * 139 + 854 -,517.49 84 274.8 * - 139 + 854 -,Simple,2.551417480279644e+230,-23280.71,False,False,False,False,False,False
( ( 338 / ( ( 516 / 216.73 ) + 435.11 ) ) * ( 163 * 757 ) ),( ( 338 / ( ( 516 * 216.73 ) + 435.11 ) ) * ( 163 * 757 ) ),* / 338 + / 516 216.73 435.11 * 163 757,* / 338 + * 516 216.73 435.11 * 163 757,338 516 216.73 / 435.11 + / 163 757 * *,338 516 216.73 * 435.11 + / 163 757 * *,Simple,95330.36,371.49,False,False,False,False,False,False
37 / 890 + 702 - 930,37 / 890 + 702 - 930,+ / 37 890 - 702 930,+ / 37 890 - 702 930,37 890 / 702 + 930 -,37 890 / 702 + 930 -,Simple,-227.96,-227.96,True,True,True,True,True,True
( 488 / 493 + 545.96 + 106 - 284.65 ),( 488 / 493 + 545.96 + 106 - 284.65 ),+ / 488 493 + 545.96 - 106 284.65,+ / 488 493 + 545.96 - 106 284.65,488 493 / 545.96 + 106 + 284.65 -,488 493 / 545.96 + 106 + 284.65 -,Simple,368.3,368.3,True,True,True,True,True,True
( ( ( 895 + 143.8 ) - 543 + 10.68 ) + 521 ),( ( ( 895 + 143.8 ) - 543 + 10.68 ) + 521 ),+ - + 895 143.8 + 543 10.68 521,+ - + 895 143.8 + 543 10.68 521,895 143.8 + 543 - 10.68 + 521 +,895 143.8 + 543 - 10.68 + 521 +,Simple,1027.48,1027.48,True,True,True,True,True,True
416.37 * ( ( 729 - 813 ) / ( 660 + 130 ) ),416.37 * ( ( 729 - 813 ) / ( 660 + 130 ) ),* 416.37 / - 729 813 + 660 130,* 416.37 / - 729 813 + 660 130,416.37 729 813 - 660 130 + / *,416.37 729 813 - 660 130 + / *,Simple,-44.27,-44.27,True,True,True,True,True,True
235.57 * ( 485 - 982 ),235.57 * ( 485 - 982 ),* 235.57 - 485 982,* 235.57 - 485 982,235.57 485 982 - *,235.57 485 982 - *,Simple,-117078.29,-117078.29,True,True,True,True,True,True
( 208 / 382.73 ) + ( ( 323 - 404.44 ) / ( 652 * 64 ) ),( 208 / 382.73 ) + ( ( 323 - 404.44 ) / ( 652 * 64 ) ),+ / 208 382.73 / - 323 404.44 * 652 64,+ / 208 382.73 / - 323 404.44 * 652 64,208 382.73 / 323 404.44 - 652 64 * / +,208 382.73 / 323 404.44 - 652 64 * / +,Simple,0.54,0.54,True,True,True,True,True,True
127.84 / ( 130 + 296.50 - 402.32 ),127.84 - ( 130 + 296.50 / 402.32 ),/ 127.84 + 130 - 296.50 402.32,- 127.84 + 130 / 296.50 402.32,127.84 130 296.50 + 402.32 - /,127.84 130 296.50 402.32 / + -,Simple,5.29,-2.9,False,False,False,False,False,False
504 + ( 485.76 * 815 ),504 + ( 485.76 * 815 ),+ 504 * 485.76 815,+ 504 * 485.76 815,504 485.76 815 * +,504 485.76 815 * +,Simple,396398.4,396398.4,True,True,True,True,True,True
( ( 868 - 822 - 332 ) / 357 / ( 846 - 410 ) ),( ( 868 - 822 - 332 ) / 357 / ( 846 - 410 ) ),/ - 868 - 822 332 / 357 - 846 410,/ - 868 - 822 332 / 357 - 846 410,868 822 - 332 - 357 / 846 410 - /,868 822 - 332 - 357 / 846 410 - /,Simple,-0.0,-0.0,True,True,True,True,True,True
( 992.34 / ( 51 ^ ( 843 / 873 ) ) ),( 992.34 / ( 51 ^ ( 843 / 873 ) ) ),/ 992.34 ^ 51 / 843 873,/ 992.34 ^ 51 / 843 873,992.34 51 843 873 / ^ /,992.34 51 843 873 / ^ /,Simple,22.27,22.27,True,True,True,True,True,True
( 411 - 277 * 920 - 279 ),( 411 - 277 * 920 - 279 ),- 411 - * 277 920 279,- 411 - * 277 920 279,411 277 920 * - 279 -,411 277 920 * - 279 -,Simple,-254708.0,-254708.0,True,True,True,True,True,True
( 15 + ( 329.27 ^ 61.19 ) ),( 15 + ( 329.27 ^ 61.19 ) ),+ 15 ^ 329.27 61.19,+ 15 ^ 329.27 61.19,15 329.27 61.19 ^ +,15 329.27 61.19 ^ +,Simple,1.1194814322852701e+154,1.1194814322852701e+154,True,True,True,True,True,True
( ( 938 + 920.10 / ( 806.22 - 268 ) ) / 868.90 ),( ( 938 + 920.10 / ( 806.22 - 268 ) ) / 868.90 ),/ + 938 / 920.10 - 806.22 268 868.90,/ + 938 / 920.10 - 806.22 268 868.90,938 920.10 806.22 268 - / + 868.90 /,938 920.10 806.22 268 - / + 868.90 /,Simple,1.08,1.08,True,True,True,True,True,True
80 / ( ( 977 + 29.43 ) + ( 871 * 162 ) ),80 + ( ( 977 + 29.43 ) + ( 871 * 162 ) ),/ 80 + + 977 29.43 * 871 162,+ 80 + + 977 29.43 * 871 162,80 977 29.43 + 871 162 * + /,80 977 29.43 + 871 162 * + +,Simple,0.0,142188.43,False,False,False,False,False,False
( ( 987.0 * 747.51 ) + ( 283 + 507 ) / 774.16 ),( ( 987.0 * 747.51 ) + ( 283 + 507 ) / 774.16 ),+ * 987.0 747.51 / + 283 507 774.16,+ * 987.0 747.51 / + 283 507 774.16,987.0 747.51 * 283 507 + 774.16 / +,987.0 747.51 * 283 507 + 774.16 / +,Simple,737793.39,737793.39,True,True,True,True,True,True
69.0 / ( 163 ^ ( 633.40 - 520 ) ) / 79.1,69.0 / ( 163 ^ ( 633.40 - 520 ) ) / 79.1,/ 69.0 / ^ 163 - 633.40 520 79.1,/ 69.0 / ^ 163 - 633.40 520 79.1,69.0 163 633.40 520 - ^ / 79.1 /,69.0 163 633.40 520 - ^ / 79.1 /,Simple,0.0,0.0,True,True,True,True,True,True
338 - 469.18 / 618 + 644 / ( 936.65 ^ 43 ),338 - 469.18 / 618 + 644 / ( 936.65 ^ 43 ),- 338 + / 469.18 618 / 644 ^ 936.65 43,- 338 + / 469.18 618 / 644 ^ 936.65 43,338 469.18 618 / - 644 936.65 43 ^ / +,338 469.18 618 / - 644 936.65 43 ^ / +,Simple,337.24,337.24,True,True,True,True,True,True
( ( 149 / 191 ) + 852 ),( ( 149 / 191 ) + 852 ),+ / 149 191 852,+ / 149 191 852,149 191 / 852 +,149 191 / 852 +,Simple,852.78,852.78,True,True,True,True,True,True
( 48 / ( 319 - 789 ) ) + 587.93,( 48 / ( 319 - 789 ) ) + 587.93,+ / 48 - 319 789 587.93,+ / 48 - 319 789 587.93,48 319 789 - / 587.93 +,48 319 789 - / 587.93 +,Simple,587.83,587.83,True,True,True,True,True,True
( 402 - 992 * ( 235 + ( 475 - 573 ) ) / 199.17 ),( 402 - 992 * ( 235 + ( 475 - 573 ) ) / 199.17 ),- 402 * 992 / + 235 - 475 573 199.17,- 402 * 992 / + 235 - 475 573 199.17,402 992 235 475 573 - + * 199.17 / -,402 992 235 475 573 - + * 199.17 / -,Simple,-280.35,-280.35,True,True,True,True,True,True
( 947 + 906.42 ) - 369,( 947 + 906.42 ) - 369,- + 947 906.42 369,- + 947 906.42 369,947 906.42 + 369 -,947 906.42 + 369 -,Simple,1484.42,1484.42,True,True,True,True,True,True
( ( 624.27 * 747.86 ) / ( 887.7 / ( 797 / 15 ) ) ),( ( 624.27 * 747.86 ) / ( 887.7 / ( 797 / 15 ) ) ),/ * 624.27 747.86 / 887.7 / 797 15,/ * 624.27 747.86 / 887.7 / 797 15,624.27 747.86 * 887.7 797 15 / / /,624.27 747.86 * 887.7 797 15 / / /,Simple,27944.32,27944.32,True,True,True,True,True,True
( 812 - 509 ) + 520,( 812 + 509 ) + 520,+ - 812 509 520,+ + 812 509 520,812 509 - 520 +,812 509 + 520 +,Simple,823.0,1841.0,False,False,False,False,False,False
( 26 - 758.99 + 462 ),( 26 / 758.99 + 462 ),- 26 + 758.99 462,+ / 26 758.99 462,26 758.99 - 462 +,26 758.99 / 462 +,Simple,-270.99,462.03,False,False,False,False,False,False
( 658 / 437.68 + ( 8 + 510 ) ),( 658 + 437.68 + ( 8 + 510 ) ),+ / 658 437.68 + 8 510,+ 658 + 437.68 + 8 510,658 437.68 / 8 510 + +,658 437.68 + 8 510 + +,Simple,519.5,1613.68,False,False,False,False,False,False
( ( ( 874 + 230.44 ) * 139 ) + 770 ),( ( ( 874 + 230.44 ) * 139 ) + 770 ),+ * + 874 230.44 139 770,+ * + 874 230.44 139 770,874 230.44 + 139 * 770 +,874 230.44 + 139 * 770 +,Simple,154287.16,154287.16,True,True,True,True,True,True
( 390.11 / 263 + 84 ),( 390.11 + 263 / 84 ),+ / 390.11 263 84,+ 390.11 / 263 84,390.11 263 / 84 +,390.11 263 84 / +,Simple,85.48,393.24,False,False,False,False,False,False
( ( ( 323.76 / 282 ) ^ 236 - 785.88 ) - ( 598 / 737 ) ),( ( ( 323.76 / 282 ) ^ 236 - 785.88 ) - ( 598 / 737 ) ),- - ^ / 323.76 282 236 785.88 / 598 737,- - ^ / 323.76 282 236 785.88 / 598 737,323.76 282 / 236 ^ 785.88 - 598 737 / -,323.76 282 / 236 ^ 785.88 - 598 737 / -,Simple,142522556245891.56,142522556245891.56,True,True,True,True,True,True
( 530.74 - 924.74 * 758.14 ),( 530.74 - 924.74 + 758.14 ),- 530.74 * 924.74 758.14,- 530.74 + 924.74 758.14,530.74 924.74 758.14 * -,530.74 924.74 - 758.14 +,Simple,-700551.64,364.14,False,False,False,False,False,False
( 593 * 871 / 57 - 5 ),( 593 * 871 / 57 - 5 ),- * 593 / 871 57 5,- * 593 / 871 57 5,593 871 * 57 / 5 -,593 871 * 57 / 5 -,Simple,9056.46,9056.46,True,True,True,True,True,True
( 384.96 + 214.16 ) * 636,( 384.96 + 214.16 ) - 636,* + 384.96 214.16 636,- + 384.96 214.16 636,384.96 214.16 + 636 *,384.96 214.16 + 636 -,Simple,381040.32,-36.88,False,False,False,False,False,False
( 98.68 * ( 657.57 - 743 ) ) / ( 952 - 684.63 / 30 ),( 98.68 * ( 657.57 - 743 ) ) / ( 952 - 684.63 / 30 ),/ * 98.68 - 657.57 743 - 952 / 684.63 30,/ * 98.68 - 657.57 743 - 952 / 684.63 30,98.68 657.57 743 - * 952 684.63 30 / - /,98.68 657.57 743 - * 952 684.63 30 / - /,Simple,-9.07,-9.07,True,True,True,True,True,True
765.79 - ( 754 + 254 ),765.79 - ( 754 + 254 ),- 765.79 + 754 254,- 765.79 + 754 254,765.79 754 254 + -,765.79 754 254 + -,Simple,-242.21,-242.21,True,True,True,True,True,True
368 / ( 115 * 836 ),368 / ( 115 * 836 ),/ 368 * 115 836,/ 368 * 115 836,368 115 836 * /,368 115 836 * /,Simple,0.0,0.0,True,True,True,True,True,True
( ( 704.92 - 517 / 600.52 - 776 ) * 223 ) / 237,( ( 704.92 - 517 / 600.52 - 776 ) * 223 ) / 237,/ * - 704.92 - / 517 600.52 776 223 237,/ * - 704.92 - / 517 600.52 776 223 237,704.92 517 600.52 / - 776 - 223 * 237 /,704.92 517 600.52 / - 776 - 223 * 237 /,Simple,-67.69,-67.69,True,True,True,True,True,True
263 + ( ( 167 - 145.59 - 775.54 ) - 652 ),263 - ( ( 167 + 145.59 - 775.54 ) - 652 ),+ 263 - - 167 - 145.59 775.54 652,- 263 - + 167 - 145.59 775.54 652,263 167 145.59 - 775.54 - 652 - +,263 167 145.59 + 775.54 - 652 - -,Simple,-1143.13,1377.95,False,False,False,False,False,False
( 377.95 - ( 323.45 - 884.62 - 553.51 ) ),( 377.95 - ( 323.45 - 884.62 - 553.51 ) ),- 377.95 - 323.45 - 884.62 553.51,- 377.95 - 323.45 - 884.62 553.51,377.95 323.45 884.62 - 553.51 - -,377.95 323.45 884.62 - 553.51 - -,Simple,1492.63,1492.63,True,True,True,True,True,True
941.20 + 393 * ( ( 411.8 / 498.59 ) + 376 + 307 ),941.20 + 393 * ( ( 411.8 / 498.59 ) + 376 + 307 ),+ 941.20 * 393 + / 411.8 498.59 + 376 307,+ 941.20 * 393 + / 411.8 498.59 + 376 307,941.20 393 411.8 498.59 / 376 + 307 + * +,941.20 393 411.8 498.59 / 376 + 307 + * +,Simple,269684.79,269684.79,True,True,True,True,True,True
( 383.92 / 343 ) ^ 623 + 38.10,( 383.92 / 343 ) ^ 623 + 38.10,+ ^ / 383.92 343 623 38.10,+ ^ / 383.92 343 623 38.10,383.92 343 / 623 ^ 38.10 +,383.92 343 / 623 ^ 38.10 +,Simple,3.117039581964206e+30,3.117039581964206e+30,True,True,True,True,True,True
( 736 + 755 ) + ( 652 - 93 * 376 ) / 807,( 736 + 755 ) + ( 652 * 93 - 376 ) / 807,+ + 736 755 / - 652 * 93 376 807,+ + 736 755 / - * 652 93 376 807,736 755 + 652 93 376 * - 807 / +,736 755 + 652 93 * 376 - 807 / +,Simple,1448.48,1565.67,False,False,False,False,False,False
621.57 + ( 881.33 - 59 ),621.57 - ( 881.33 + 59 ),+ 621.57 - 881.33 59,- 621.57 + 881.33 59,621.57 881.33 59 - +,621.57 881.33 59 + -,Simple,1443.9,-318.76,False,False,False,False,False,False
( ( 152 * 572.59 ) - ( 32 / 650 - 815.91 ) ),( ( 152 * 572.59 ) - ( 32 - 650 - 815.91 ) ),- * 152 572.59 - / 32 650 815.91,- * 152 572.59 - 32 - 650 815.91,152 572.59 * 32 650 / 815.91 - -,152 572.59 * 32 650 - 815.91 - -,Simple,87849.54,88467.59,False,False,False,False,False,False
( 483 * ( ( 166 / 416 ) ^ 91 ) ),( 483 * ( ( 166 / 416 ) ^ 91 ) ),* 483 ^ / 166 416 91,* 483 ^ / 166 416 91,483 166 416 / 91 ^ *,483 166 416 / 91 ^ *,Simple,0.0,0.0,True,True,True,True,True,True
( ( 833 + 411 ) + ( 848 + 125 ) / 126 ),( ( 833 + 411 ) + ( 848 + 125 ) / 126 ),+ + 833 411 / + 848 125 126,+ + 833 411 / + 848 125 126,833 411 + 848 125 + 126 / +,833 411 + 848 125 + 126 / +,Simple,1251.72,1251.72,True,True,True,True,True,True
( 679 + 425 ) / 27 * ( 324 / ( 600.69 * 961 ) ),( 679 + 425 ) / 27 * ( 324 / ( 600.69 * 961 ) ),/ + 679 425 * 27 / 324 * 600.69 961,/ + 679 425 * 27 / 324 * 600.69 961,679 425 + 27 / 324 600.69 961 * / *,679 425 + 27 / 324 600.69 961 * / *,Simple,0.02,0.02,True,True,True,True,True,True
( ( 893 / ( 1 ^ 992 ) ) + ( 498 * 840 ) * 507.59 ),( ( 893 / ( 1 ^ 992 ) ) + ( 498 * 840 ) * 507.59 ),+ / 893 ^ 1 992 * * 498 840 507.59,+ / 893 ^ 1 992 * * 498 840 507.59,893 1 992 ^ / 498 840 * 507.59 * +,893 1 992 ^ / 498 840 * 507.59 * +,Simple,212335941.8,212335941.8,True,True,True,True,True,True
769 * 411.81 * ( 48 - 255.39 ),769 - 411.81 * ( 48 * 255.39 ),* 769 * 411.81 - 48 255.39,- 769 * 411.81 * 48 255.39,769 411.81 * 48 255.39 - *,769 411.81 48 255.39 * * -,Simple,-65676657.17,-5047494.48,False,False,False,False,False,False
( ( 355 + 650 ) / 110 / 947.18 ),( ( 355 + 650 ) / 110 / 947.18 ),/ + 355 650 / 110 947.18,/ + 355 650 / 110 947.18,355 650 + 110 / 947.18 /,355 650 + 110 / 947.18 /,Simple,0.01,0.01,True,True,True,True,True,True
( 524 + ( 395 - ( ( 925 / 228.73 - 94 ) + 133.7 ) ) ),( 524 + ( 395 - ( ( 925 / 228.73 - 94 ) / 133.7 ) ) ),+ 524 - 395 + - / 925 228.73 94 133.7,+ 524 - 395 / - / 925 228.73 94 133.7,524 395 925 228.73 / 94 - 133.7 + - +,524 395 925 228.73 / 94 - 133.7 / - +,Simple,875.26,919.67,False,False,False,False,False,False
( ( ( 161.8 + 438.18 ^ 33 - 118 ) / 267 ) * 182.21 ),( ( ( 161.8 + 438.18 ^ 33 - 118 ) / 267 ) * 182.21 ),* / + 161.8 - ^ 438.18 33 118 267 182.21,* / + 161.8 - ^ 438.18 33 118 267 182.21,161.8 438.18 33 ^ + 118 - 267 / 182.21 *,161.8 438.18 33 ^ + 118 - 267 / 182.21 *,Simple,1.019988160179839e+87,1.019988160179839e+87,True,True,True,True,True,True
655.77 + 565.46 + 355.63,655.77 + 565.46 + 355.63,+ 655.77 + 565.46 355.63,+ 655.77 + 565.46 355.63,655.77 565.46 + 355.63 +,655.77 565.46 + 355.63 +,Simple,1576.86,1576.86,True,True,True,True,True,True
664.95 + ( 847 / ( ( 961 / 455 ) * 333.1 + 254 ) ),664.95 + ( 847 / ( ( 961 / 455 ) * 333.1 + 254 ) ),+ 664.95 / 847 + * / 961 455 333.1 254,+ 664.95 / 847 + * / 961 455 333.1 254,664.95 847 961 455 / 333.1 * 254 + / +,664.95 847 961 455 / 333.1 * 254 + / +,Simple,665.83,665.83,True,True,True,True,True,True
172 + 847.52 + 137 * 235.4 + ( 295 - 891 ),172 + 847.52 + 137 * 235.4 + ( 295 - 891 ),+ 172 + 847.52 + * 137 235.4 - 295 891,+ 172 + 847.52 + * 137 235.4 - 295 891,172 847.52 + 137 235.4 * + 295 891 - +,172 847.52 + 137 235.4 * + 295 891 - +,Simple,32673.32,32673.32,True,True,True,True,True,True
( 317.18 / ( 975 + 486 ) ),( 317.18 / ( 975 + 486 ) ),/ 317.18 + 975 486,/ 317.18 + 975 486,317.18 975 486 + /,317.18 975 486 + /,Simple,0.22,0.22,True,True,True,True,True,True
( 302 - 976 - 322.20 ),( 302 - 976 - 322.20 ),- 302 - 976 322.20,- 302 - 976 322.20,302 976 - 322.20 -,302 976 - 322.20 -,Simple,-996.2,-996.2,True,True,True,True,True,True
( 266.9 + 167 ^ 704.3 ^ ( 222 / 545 ) ),( 266.9 + 167 ^ 704.3 ^ ( 222 / 545 ) ),+ 266.9 ^ ^ 167 704.3 / 222 545,+ 266.9 ^ ^ 167 704.3 / 222 545,266.9 167 704.3 222 545 / ^ ^ +,266.9 167 704.3 222 545 / ^ ^ +,Simple,1.3437776616054516e+32,1.3437776616054516e+32,True,True,True,True,True,True
( 196.24 - 588 / 660.51 - 860 * 679.74 ),( 196.24 - 588 / 660.51 - 860 * 679.74 ),- 196.24 - / 588 660.51 * 860 679.74,- 196.24 - / 588 660.51 * 860 679.74,196.24 588 660.51 / - 860 679.74 * -,196.24 588 660.51 / - 860 679.74 * -,Simple,-584381.05,-584381.05,True,True,True,True,True,True
( 674 * ( 361 - 342 ) - 774.3 ^ ( 581.44 - 637 ) ),( 674 * ( 361 - 342 ) - 774.3 ^ ( 581.44 - 637 ) ),- * 674 - 361 342 ^ 774.3 - 581.44 637,- * 674 - 361 342 ^ 774.3 - 581.44 637,674 361 342 - * 774.3 581.44 637 - ^ -,674 361 342 - * 774.3 581.44 637 - ^ -,Simple,12806.0,12806.0,True,True,True,True,True,True
( 550 + 82.72 ) / 484.55 + 882,( 550 + 82.72 ) / 484.55 + 882,+ / + 550 82.72 484.55 882,+ / + 550 82.72 484.55 882,550 82.72 + 484.55 / 882 +,550 82.72 + 484.55 / 882 +,Simple,883.31,883.31,True,True,True,True,True,True
